EBA,spei,BA
0.0,-2.6241651928951826,0.0175
0.0,-1.3735865965426115,0.015
0.0,-1.3937076899717789,0.08
0.0,-1.4144284670900775,0.04
0.0010663377493619918,-1.4906010763230668,0.045
3.289473708719015e-05,-1.5070184081638633,0.015
0.0,-2.2111811100910286,0.03
0.0,-2.1994947670760676,0.135
0.0,-2.1864712513494857,0.2525
0.0,-2.183406118245939,0.005
0.0,-1.4218000213264255,0.035
0.0,-1.428859165615815,0.025
0.0,-2.232790844020737,0.0025
0.0,-2.2407752482783865,0.0875
0.0,-2.24813847954266,0.07
0.0,-2.2372918793408223,0.02
0.0,-2.2356450842566127,0.02
0.0,-2.236067470513001,0.0175
1.736111124046147e-05,-1.667539782768694,0.06
0.0,-2.18999722880429,0.135
0.0,-2.2329226134350786,0.225
0.0,-2.254826597293435,0.1
0.0,-2.2741985676582326,0.1125
0.0,-2.3021364336589807,0.3075
0.0,-2.3211733365469556,0.1875
0.0,-2.3301190199068165,0.1425
0.0,-2.3185016209974045,0.0575
0.0,-2.3033147346128295,0.035
0.0,-2.285579018999847,0.0125
0.0,-2.241327893962955,0.02
0.0,-2.247459507481065,0.005
0.0,-2.2543047048486105,0.0425
0.0,-2.240206232581831,0.01
0.0,-2.2186882773061067,0.0325
0.0,-2.2076007694981548,0.03
0.0,-2.2810199141825276,0.015
0.0,-2.2830759433664287,0.005
0.0,-2.302037690882186,0.02
0.0,-2.441705822260446,0.04
0.0,-2.3982342745335314,0.02
0.0,-2.2933925852175427,0.06
0.0,-2.3205877037629645,0.1275
0.0,-2.3456675701312926,0.2875
0.0,-2.3522441714483264,0.32
0.0,-2.347418657223119,0.275
0.0,-2.3375481072955218,0.1525
0.0,-2.3280602020349157,0.0575
0.0,-2.3138949541789766,0.0775
0.0,-2.2850360669216063,0.015
0.0,-2.2702482573099556,0.02
0.0,-2.269604180584343,0.0775
0.0,-2.268289084609573,0.0125
0.0,-2.26827724748104,0.015
0.0,-2.262691470408133,0.01
0.0,-2.295439353611473,0.0275
0.0,-2.190121041841921,0.04
0.0,-2.1885519391718318,0.015
0.0,-2.3040072799631686,0.06
0.0,-2.311677834232124,0.065
0.0,-2.3343671590562716,0.015
0.0,-2.243869262957527,0.0375
0.0,-2.138426919925409,0.035
0.0,-1.9668920343173417,0.01
